CODE,ADM_NAME,LEVEL,CONTINENT,FLD1,FLD2,FLD3,FLD4,FLD5,FLD6,FLD7,FLD8,FLD9,FLD10,FLD11,FLD12,FLD13,FLD14,FLD15,FLD16,FLD17,FLD18,FLD19,FLD20,FLD21,FLD22,FLD23,FLD24,FLD25,FLD26,FLD27
IQ,Irak,CTR,Asie,1894840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,947420,0,0,0,0,947420,0,0,0,0
IE,Irlande,CTR,Asie,1692090780,0,6814368,0,0,0,0,0,0,24430925,0,0,0,0,227530195,0,56711081,336795332,0,0,3243486,918201508,2420481,109515026,0,6428378,0
IL,Israël,CTR,Afrique,1544315808,0,92805982,0,33189975,27956886,0,16914084,0,127487141,0,0,0,0,0,0,56740280,569291682,53166764,49999994,26528960,126772708,6559570,222602008,0,134299774,0
IT,Italie,CTR,Europe,4459584598,0,2185161619,0,111755059,12296570,0,17710839,23086408,116190971,12280827,0,0,60300396,11220932,0,0,735353044,918340,12700000,307368810,541108560,0,301232843,0,10899380,0
JP,Japon,CTR,Asie,57073214795,0,101193255,0,0,0,0,0,0,0,0,0,0,0,56825912045,0,0,3531036,0,0,0,81986372,0,0,0,60592087,0
JO,Jordanie,CTR,Afrique,9390487,0,0,0,0,0,0,0,0,0,6765217,0,0,2625270,0,0,0,0,0,0,0,0,0,0,0,0,0
KE,Kenya,CTR,Europe,4288634859,0,68775000,0,0,0,0,0,0,0,0,0,0,5220424,153303467,0,0,3762609823,114913078,0,660000,150276935,6000000,16176818,0,10699314,0
LV,Lettonie,CTR,Europe,180367915,0,32317839,0,0,44830069,0,0,0,0,0,0,0,22858645,0,0,0,78852661,0,0,0,0,0,0,0,1508701,0
LB,Liban,CTR,Europe,5648137853,0,298600103,16463209,22950495,20794626,0,59278506,0,28345625,1055023021,0,0,224557179,205400366,0,0,154518602,0,32797850,162321267,2709165016,0,657324028,0,597960,0
LR,Liberia,CTR,Afrique,253920550,0,9961390,0,0,0,0,0,0,0,0,0,0,0,42897452,0,0,177095459,0,0,0,0,0,13354000,10612249,0,0
LT,Lituanie,CTR,Asie,33900813,0,26569701,0,0,0,0,0,0,0,0,0,0,0,6532583,0,0,0,0,0,0,798529,0,0,0,0,0
LU,Luxembourg,CTR,Afrique,79339981377,0,149308040,1089095678,1406497298,22958495,0,5931281320,0,2713078285,19095138,0,0,0,49453987252,0,0,109665047,0,109861844,0,17573736421,625005839,80654375,0,32797850,22958495
MK,Macédoine Du Nord,CTR,Asie,6036247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1419800,0,0,0,0,0,2951807,0,1664640,0
MG,Madagascar,CTR,Europe,42234606,0,0,0,5654349,11151268,0,0,0,0,14817393,0,0,0,0,0,0,2011596,0,0,0,8600000,0,0,0,0,0
MY,Malaisie,CTR,Afrique,82726419,0,0,0,0,0,0,0,0,0,7215527,0,0,0,0,0,0,28765644,0,0,0,6145248,0,40600000,0,0,0
MW,Malawi,CTR,Afrique,10120800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10120800,0,0,0,0,0,0,0,0,0
MV,Maldives,CTR,Afrique,61686332,0,0,0,0,0,0,61686332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MT,Malte,CTR,Afrique,246328317,0,43138592,0,0,0,0,0,0,16985686,0,5035782,0,0,0,0,0,123752627,0,56921,0,37680000,0,0,0,19678710,0
MA,Maroc,CTR,Afrique,203664103270,0,5225751427,0,6440270,0,103903562,0,0,370984227,28284788529,0,0,130909881,301735099,0,10731726,342888327,9445780,655595700,786831351,3028406539,343546886,163523547371,90146684,448449912,0
MU,Maurice ,CTR,Asie,55194032631,0,314305586,0,0,244412052,0,129929924,0,334532005,346413787,0,0,92756350,9949298202,0,1842177,2102548729,16981742,570000064,69321183,28900137490,2797899600,5019114013,1072771232,3231768495,0
MR,Mauritanie,CTR,Afrique,1910223271,0,0,0,0,0,0,0,0,3368337,109453018,0,0,0,78662349,0,0,15103137,0,0,93735576,706984854,0,0,902916000,0,0
MZ,Mozanbique,CTR,Europe,2633640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2633640,0,0,0,0,0,0,0,0
NA,Namibie,CTR,Océanie,1590409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1590409,0,0,0,0,0,0,0,0,0
NP,Nepal,CTR,Afrique,1548059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1548059,0,0,0
NG,Nigeria,CTR,Asie,11240530716,0,426262000,0,102932175,416480000,65608819,0,0,12610434,34861929,0,0,14544200,497180368,0,98459330,136767015,297659946,26136000,9932374,98669737,0,3600000,0,8998826389,0
